GENESIS-Tabelle: 23131-0004
Krankenhauspatienten: Deutschland, Jahre, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen, Fachabteilungen, Hauptdiagnose ICD-10;;;;;;;;;;;;;;;;;;;;;;;;;;;
(1-Steller);;;;;;;;;;;;;;;;;;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entlassene Patienten (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
2022;Endokrinologie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;38;-;-;1;-;-;-;-;38
2022;Endokrinologie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Endokrinologie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;2;-;-;-;1;-;1;-;4
2022;Endokrinologie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;-;-;3;37;28;25;32;455;-;-;5;43;49;35;42;471;-;-;8;80;77;60;74;926
2022;Endokrinologie;ICD10-S00-T98;Verletzungen und Vergiftungen;-;1;4;22;20;14;23;213;-;-;1;10;14;17;17;156;-;1;5;32;34;31;40;369
2022;Endokrinologie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;-;-;-;-;1;-;-;3;-;-;-;-;1;2;2;17;-;-;-;-;2;2;2;20
2022;Endokrinologie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Endokrinologie;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Endokrinologie;;Insgesamt;2;4;59;788;744;662;791;7243;3;9;59;464;542;567;773;5854;5;13;118;1252;1286;1229;1564;13097
2022;Gastroenterologie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;-;28;176;1184;1401;1456;1958;14432;-;28;209;1124;1268;1436;2344;14803;-;56;385;2308;2669;2892;4302;29235
2022;Gastroenterologie;ICD10-C00-C97;Bösartige Neubildungen;-;-;11;4293;4507;3895;3812;27462;-;-;9;2711;3132;2653;3112;19752;-;-;20;7004;7639;6548;6924;47214
2022;Gastroenterologie;ICD10-D00-D48;Übrige Neubildungen;-;-;10;1384;1494;1258;1311;9604;-;1;9;1072;1140;1095;1133;8215;-;1;19;2456;2634;2353;2444;17819
2022;Gastroenterologie;ICD10-D50-D90;Krankheiten des Blutes;-;-;15;461;605;694;966;5053;-;4;39;497;721;771;1332;6947;-;4;54;958;1326;1465;2298;12000
2022;Gastroenterologie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;-;10;82;755;873;833;1311;8976;-;3;77;646;832;1074;1917;10309;-;13;159;1401;1705;1907;3228;19285
2022;Gastroenterologie;ICD10-F00-F99;Psychische und Verhaltensstörungen;1;21;128;220;112;96;90;4201;-;19;100;138;121;111;128;2395;1;40;228;358;233;207;218;6596
2022;Gastroenterologie;ICD10-G00-G99;Krankheiten des Nervensystems;-;-;8;89;77;90;121;831;-;2;11;74;63;101;108;775;-;2;19;163;140;191;229;1606
2022;Gastroenterologie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;-;-;-;10;5;2;3;40;-;-;1;2;3;3;2;29;-;-;1;12;8;5;5;69
2022;Gastroenterologie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;-;-;7;11;5;10;83;-;-;-;11;16;12;23;121;-;-;-;18;27;17;33;204
2022;Gastroenterologie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;-;1;3;520;561;567;835;4868;1;2;12;354;493;595;1095;5123;1;3;15;874;1054;1162;1930;9991
2022;Gastroenterologie;ICD10-J00-J99;Krankheiten des Atmungssystems;-;6;52;1482;1854;1960;2695;15014;-;7;52;1045;1141;1214;2066;11502;-;13;104;2527;2995;3174;4761;26516
2022;Gastroenterologie;ICD10-K00-K93;Krankheiten des Verdauungssystems;2;45;397;8254;7901;7103;8556;77260;2;73;441;6471;7140;7311;10229;72426;4;118;838;14725;15041;14414;18785;149686
2022;Gastroenterologie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;1;3;5;39;48;40;48;485;-;3;10;38;48;53;81;526;1;6;15;77;96;93;129;1011
2022;Gastroenterologie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;-;1;5;148;179;160;206;1469;-;-;8;157;173;222;316;1744;-;1;13;305;352;382;522;3213
2022;Gastroenterologie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;-;3;9;601;758;848;1470;6857;-;8;56;507;730;921;1728;8467;-;11;65;1108;1488;1769;3198;15324
2022;Gastroenterologie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;2;8;-;-;-;-;294;-;2;8;-;-;-;-;294
2022;Gastroenterologie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Gastroenterologie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;-;1;-;18;12;5;2;131;-;2;5;18;12;13;13;195;-;3;5;36;24;18;15;326
2022;Gastroenterologie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;2;12;94;747;864;778;922;8334;1;27;178;798;869;864;1278;9776;3;39;272;1545;1733;1642;2200;18110
2022;Gastroenterologie;ICD10-S00-T98;Verletzungen und Vergiftungen;4;13;47;345;328;287;395;3479;-;19;94;209;270;287;486;3564;4;32;141;554;598;574;881;7043
2022;Gastroenterologie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;-;1;5;76;72;63;87;625;-;-;1;47;51;61;97;583;-;1;6;123;123;124;184;1208
2022;Gastroenterologie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;-;-;1;-;4;-;-;-;-;1;-;-;2;-;-;-;-;1;1;-;6
2022;Gastroenterologie;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1
2022;Gastroenterologie;;Insgesamt;10;145;1047;20633;21662;20141;24798;189208;4;200;1320;15920;18224;18797;27488;177549;14;345;2367;36553;39886;38938;52286;366757
2022;Pneumologie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;2;9;36;348;354;331;433;3707;-;6;35;231;257;282;349;2715;2;15;71;579;611;613;782;6422
2022;Pneumologie;ICD10-C00-C97;Bösartige Neubildungen;-;-;12;4316;4038;2946;2198;22403;-;-;-;3364;2973;1999;1297;16598;-;-;12;7680;7011;4945;3495;39001
2022;Pneumologie;ICD10-D00-D48;Übrige Neubildungen;-;-;3;504;598;500;433;3393;-;1;-;377;434;340;267;2428;-;1;3;881;1032;840;700;5821
2022;Pneumologie;ICD10-D50-D90;Krankheiten des Blutes;-;-;2;123;115;72;86;1513;-;-;1;108;88;80;62;1100;-;-;3;231;203;152;148;2613
2022;Pneumologie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;-;1;14;123;126;119;148;1403;-;1;11;150;192;179;196;1644;-;2;25;273;318;298;344;3047
2022;Pneumologie;ICD10-F00-F99;Psychische und Verhaltensstörungen;-;4;11;19;20;8;13;414;-;3;19;14;15;21;20;353;-;7;30;33;35;29;33;767
2022;Pneumologie;ICD10-G00-G99;Krankheiten des Nervensystems;6;18;34;1369;1141;837;703;11553;4;9;13;693;637;444;368;5335;10;27;47;2062;1778;1281;1071;16888
2022;Pneumologie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;-;-;-;-;-;1;2;10;-;-;-;2;2;-;-;9;-;-;-;2;2;1;2;19
2022;Pneumologie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;-;-;2;1;1;2;14;-;-;-;1;3;1;6;17;-;-;-;3;4;2;8;31
2022;Pneumologie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;-;1;6;663;896;920;1032;6228;-;2;13;565;781;870;1196;6249;-;3;19;1228;1677;1790;2228;12477
2022;Pneumologie;ICD10-J00-J99;Krankheiten des Atmungssystems;5;23;97;6118;6465;5511;5560;42555;4;11;113;5082;5274;4456;4408;35551;9;34;210;11200;11739;9967;9968;78106
2022;Pneumologie;ICD10-K00-K93;Krankheiten des Verdauungssystems;-;-;5;82;92;71;103;738;-;1;3;78;70;70;96;699;-;1;8;160;162;141;199;1437
2022;Pneumologie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;-;-;2;11;7;12;12;103;-;1;2;8;4;9;6;98;-;1;4;19;11;21;18;201
2022;Pneumologie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;-;-;2;84;68;52;52;493;-;-;2;86;84;66;58;608;-;-;4;170;152;118;110;1101
2022;Pneumologie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;-;1;1;79;117;130;181;832;-;-;-;45;81;103;193;855;-;1;1;124;198;233;374;1687
2022;Pneumologie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;84;-;-;1;-;-;-;-;84
2022;Pneumologie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Pneumologie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;-;-;1;1;-;-;-;28;-;-;1;1;2;3;1;41;-;-;2;2;2;3;1;69
2022;Pneumologie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;-;7;33;418;489;408;431;4149;3;9;43;319;323;323;372;3387;3;16;76;737;812;731;803;7536
2022;Pneumologie;ICD10-S00-T98;Verletzungen und Vergiftungen;-;5;11;99;69;71;83;890;1;4;14;84;68;52;100;908;1;9;25;183;137;123;183;1798
2022;Pneumologie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;2;2;10;90;68;53;52;936;1;3;14;82;50;49;56;1239;3;5;24;172;118;102;108;2175
2022;Pneumologie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;-;-;1;-;2;-;-;-;-;1;-;-;4;-;-;-;-;1;1;-;6
2022;Pneumologie;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Pneumologie;;Insgesamt;15;71;280;14449;14664;12044;11524;101364;13;51;285;11290;11339;9347;9051;79922;28;122;565;25739;26003;21391;20575;181286
2022;Rheumatologie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;-;-;2;9;13;9;24;178;-;-;-;17;9;25;20;211;-;-;2;26;22;34;44;389
2022;Rheumatologie;ICD10-C00-C97;Bösartige Neubildungen;-;-;-;11;5;7;4;53;-;-;-;9;5;5;13;61;-;-;-;20;10;12;17;114
2022;Rheumatologie;ICD10-D00-D48;Übrige Neubildungen;-;-;-;6;5;6;1;35;-;-;-;5;7;3;7;50;-;-;-;11;12;9;8;85
2022;Rheumatologie;ICD10-D50-D90;Krankheiten des Blutes;-;-;2;23;12;7;9;243;-;-;-;25;17;7;8;267;-;-;2;48;29;14;17;510
2022;Rheumatologie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;-;-;4;5;1;4;9;59;-;-;3;4;5;6;14;99;-;-;7;9;6;10;23;158
2022;Rheumatologie;ICD10-F00-F99;Psychische und Verhaltensstörungen;-;-;-;3;2;1;2;66;-;-;4;19;8;13;6;356;-;-;4;22;10;14;8;422
2022;Rheumatologie;ICD10-G00-G99;Krankheiten des Nervensystems;-;-;1;13;9;7;4;92;-;-;2;13;14;20;4;142;-;-;3;26;23;27;8;234
2022;Rheumatologie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;-;-;-;8;-;3;1;29;-;-;1;4;2;-;4;33;-;-;1;12;2;3;5;62
2022;Rheumatologie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;-;-;-;-;-;1;1;-;-;-;1;-;-;1;3;-;-;-;1;-;-;2;4
2022;Rheumatologie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;-;-;1;29;34;29;28;325;-;1;1;27;42;39;49;461;-;1;2;56;76;68;77;786
2022;Rheumatologie;ICD10-J00-J99;Krankheiten des Atmungssystems;-;-;1;28;22;16;20;176;-;-;3;28;25;26;29;225;-;-;4;56;47;42;49;401
2022;Rheumatologie;ICD10-K00-K93;Krankheiten des Verdauungssystems;-;-;-;13;15;4;6;164;1;-;1;15;22;18;13;235;1;-;1;28;37;22;19;399
2022;Rheumatologie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;-;1;2;69;60;27;34;844;-;3;6;157;122;68;30;1692;-;4;8;226;182;95;64;2536
2022;Rheumatologie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;1;8;57;1161;960;717;601;9960;-;12;110;2352;1993;1628;1583;21930;1;20;167;3513;2953;2345;2184;31890
2022;Rheumatologie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;-;-;-;8;14;6;7;89;-;-;1;10;14;11;17;116;-;-;1;18;28;17;24;205
2022;Rheumatologie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6;-;-;1;-;-;-;-;6
2022;Rheumatologie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Rheumatologie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;-;-;1;-;1;-;-;4;-;-;-;-;-;-;-;2;-;-;1;-;1;-;-;6
2022;Rheumatologie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;-;-;1;4;10;8;10;108;-;-;6;13;15;14;13;210;-;-;7;17;25;22;23;318
2022;Rheumatologie;ICD10-S00-T98;Verletzungen und Vergiftungen;-;-;-;7;1;5;6;42;-;-;-;7;4;1;10;49;-;-;-;14;5;6;16;91
2022;Rheumatologie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;-;-;-;-;-;-;-;5;-;-;-;1;1;-;-;18;-;-;-;1;1;-;-;23
2022;Rheumatologie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
2022;Rheumatologie;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Rheumatologie;;Insgesamt;1;9;72;1397;1164;856;767;12474;1;16;139;2707;2305;1884;1821;26167;2;25;211;4104;3469;2740;2588;38641
2022;Pädiatrie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;5126;2615;63;-;-;-;-;53681;4805;3730;57;-;-;-;-;49644;9931;6345;120;-;-;-;-;103325
2022;Pädiatrie;ICD10-C00-C97;Bösartige Neubildungen;2550;1904;370;-;-;-;-;12852;2038;1492;247;-;-;-;-;9950;4588;3396;617;-;-;-;-;22802
2022;Pädiatrie;ICD10-D00-D48;Übrige Neubildungen;333;187;22;-;-;-;-;2054;393;216;13;-;-;-;-;2555;726;403;35;-;-;-;-;4609
2022;Pädiatrie;ICD10-D50-D90;Krankheiten des Blutes;629;425;43;-;-;-;-;4128;775;637;62;-;-;-;-;3684;1404;1062;105;-;-;-;-;7812
2022;Pädiatrie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;3773;2040;135;-;-;-;-;12092;3901;2178;178;3;1;-;-;11975;7674;4218;313;3;1;-;-;24067
2022;Pädiatrie;ICD10-F00-F99;Psychische und Verhaltensstörungen;2626;4921;46;-;-;-;-;13150;5256;7264;88;-;-;-;-;15546;7882;12185;134;-;-;-;-;28696
2022;Pädiatrie;ICD10-G00-G99;Krankheiten des Nervensystems;5338;3509;175;-;-;-;-;21710;5624;4426;134;-;-;-;-;20391;10962;7935;309;-;-;-;-;42101
2022;Pädiatrie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;464;177;-;-;-;-;-;2367;545;292;9;-;-;-;-;2327;1009;469;9;-;-;-;-;4694
2022;Pädiatrie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;232;91;2;-;-;-;-;2907;216;113;4;-;-;-;-;2187;448;204;6;-;-;-;-;5094
2022;Pädiatrie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;1461;1331;20;-;-;-;-;4576;1838;1627;46;-;-;-;-;4889;3299;2958;66;-;-;-;-;9465
2022;Pädiatrie;ICD10-J00-J99;Krankheiten des Atmungssystems;4554;2352;73;-;-;-;-;98894;3792;2860;61;-;1;-;-;71551;8346;5212;134;-;1;-;-;170445
2022;Pädiatrie;ICD10-K00-K93;Krankheiten des Verdauungssystems;5821;3626;92;-;-;-;-;20012;6047;5480;94;1;-;-;-;19945;11868;9106;186;1;-;-;-;39957
2022;Pädiatrie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;1139;653;13;-;-;-;-;7446;994;725;16;-;-;-;-;5857;2133;1378;29;-;-;-;-;13303
2022;Pädiatrie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;1672;863;42;-;-;-;-;5511;2427;1810;167;-;-;-;-;7555;4099;2673;209;-;-;-;-;13066
2022;Pädiatrie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;1450;797;24;-;-;-;-;8953;2030;2339;10;-;-;-;-;13116;3480;3136;34;-;-;-;-;22069
2022;Pädiatrie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;13;72;4;-;-;-;-;135;13;72;4;-;-;-;-;135
2022;Pädiatrie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;1;-;-;-;-;-;-;38499;-;-;-;-;-;-;-;30789;1;-;-;-;-;-;-;69288
2022;Pädiatrie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;640;201;29;-;-;-;-;8184;456;193;20;1;-;-;-;5135;1096;394;49;1;-;-;-;13319
2022;Pädiatrie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;8604;6000;66;-;-;-;-;37801;12819;11398;103;-;-;-;-;44729;21423;17398;169;-;-;-;-;82530
2022;Pädiatrie;ICD10-S00-T98;Verletzungen und Vergiftungen;9040;4224;72;-;-;-;-;50139;6491;4570;58;1;-;-;-;39766;15531;8794;130;1;-;-;-;89905
2022;Pädiatrie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;717;382;27;1;2;-;-;9544;641;462;45;1;-;1;-;9561;1358;844;72;2;2;1;-;19105
2022;Pädiatrie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;149;50;-;-;-;-;-;611;83;33;-;-;-;-;-;419;232;83;-;-;-;-;-;1030
2022;Pädiatrie;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;11
2022;Pädiatrie;;Insgesamt;56319;36348;1314;1;2;-;-;415114;61184;51917;1416;7;2;1;-;371714;117503;88265;2730;8;4;1;-;786828
2022;Kinderkardiologie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;8;3;4;-;-;-;-;80;2;7;1;-;-;-;-;61;10;10;5;-;-;-;-;141
2022;Kinderkardiologie;ICD10-C00-C97;Bösartige Neubildungen;6;3;1;-;-;-;-;18;7;3;-;-;-;-;-;17;13;6;1;-;-;-;-;35
2022;Kinderkardiologie;ICD10-D00-D48;Übrige Neubildungen;5;-;1;-;-;-;-;27;7;3;-;-;-;-;-;47;12;3;1;-;-;-;-;74
2022;Kinderkardiologie;ICD10-D50-D90;Krankheiten des Blutes;2;3;2;-;-;-;-;23;2;1;1;-;-;-;-;20;4;4;3;-;-;-;-;43
2022;Kinderkardiologie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;5;5;-;-;-;-;-;26;8;2;-;-;-;-;-;28;13;7;-;-;-;-;-;54
2022;Kinderkardiologie;ICD10-F00-F99;Psychische und Verhaltensstörungen;1;11;-;-;-;-;-;16;6;13;-;-;-;-;-;20;7;24;-;-;-;-;-;36
2022;Kinderkardiologie;ICD10-G00-G99;Krankheiten des Nervensystems;8;4;-;-;-;-;-;45;2;5;-;-;-;-;-;30;10;9;-;-;-;-;-;75
2022;Kinderkardiologie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;2;-;-;-;-;-;-;13;4;1;-;-;-;-;-;7;6;1;-;-;-;-;-;20
2022;Kinderkardiologie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;1;1;-;-;-;-;-;24;-;-;-;-;-;-;-;13;1;1;-;-;-;-;-;37
2022;Kinderkardiologie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;306;289;51;5;4;2;-;1489;281;188;33;13;9;1;-;1227;587;477;84;18;13;3;-;2716
2022;Kinderkardiologie;ICD10-J00-J99;Krankheiten des Atmungssystems;25;20;3;-;-;-;-;341;26;16;3;-;-;-;-;256;51;36;6;-;-;-;-;597
2022;Kinderkardiologie;ICD10-K00-K93;Krankheiten des Verdauungssystems;17;12;7;-;-;-;-;120;9;4;4;-;-;-;-;79;26;16;11;-;-;-;-;199
2022;Kinderkardiologie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;4;-;1;-;-;-;-;12;-;2;1;-;-;-;-;11;4;2;2;-;-;-;-;23
2022;Kinderkardiologie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;4;2;-;-;-;-;-;30;5;9;1;-;-;-;-;33;9;11;1;-;-;-;-;63
2022;Kinderkardiologie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;5;2;-;-;-;-;-;23;1;2;-;-;-;-;-;12;6;4;-;-;-;-;-;35
2022;Kinderkardiologie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;6
2022;Kinderkardiologie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;361;-;-;-;-;-;-;-;314;-;-;-;-;-;-;-;675
2022;Kinderkardiologie;ICD10-Q00-Q99;Angeb.Fehlbild.,Deformitäten,Chromosomenanomalien;317;183;61;3;6;-;1;4333;265;129;51;12;1;-;-;3592;582;312;112;15;7;-;1;7925
2022;Kinderkardiologie;ICD10-R00-R99;Symptome u.abnorme klin. u.Laborbefunde,ao.n.kl.;62;62;8;-;-;-;-;277;56;61;5;-;-;-;-;227;118;123;13;-;-;-;-;504
2022;Kinderkardiologie;ICD10-S00-T98;Verletzungen und Vergiftungen;117;72;27;1;2;-;-;629;79;62;12;-;-;1;-;434;196;134;39;1;2;1;-;1063
2022;Kinderkardiologie;ICD10-Z00-Z99;Faktoren,die zur Inanspruchn.d.Gesundheitsw.führen;69;45;26;-;1;1;-;330;59;42;16;-;-;-;-;267;128;87;42;-;1;1;-;597
2022;Kinderkardiologie;ICD10-U00-U85;Schlüsselnummern für besondere Zwecke;4;1;-;-;-;-;-;14;-;3;-;-;-;-;-;11;4;4;-;-;-;-;-;25
2022;Kinderkardiologie;UNBEKANNT;unbekannt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Kinderkardiologie;;Insgesamt;968;718;192;9;13;3;1;8231;819;553;128;25;10;2;-;6712;1787;1271;320;34;23;5;1;14943
2022;Neonatologie;ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;-;-;-;-;-;-;-;215;-;-;-;-;-;-;-;142;-;-;-;-;-;-;-;357
2022;Neonatologie;ICD10-C00-C97;Bösartige Neubildungen;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;15
2022;Neonatologie;ICD10-D00-D48;Übrige Neubildungen;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;92
2022;Neonatologie;ICD10-D50-D90;Krankheiten des Blutes;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;62
2022;Neonatologie;ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;-;-;-;-;-;-;-;79;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;153
2022;Neonatologie;ICD10-F00-F99;Psychische und Verhaltensstörungen;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
2022;Neonatologie;ICD10-G00-G99;Krankheiten des Nervensystems;-;-;-;-;-;-;-;203;-;-;-;-;-;-;-;134;-;-;-;-;-;-;-;337
2022;Neonatologie;ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;70
2022;Neonatologie;ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;12
2022;Neonatologie;ICD10-I00-I99;Krankheiten des Kreislaufsystems;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;104
2022;Neonatologie;ICD10-J00-J99;Krankheiten des Atmungssystems;-;-;-;-;-;-;-;578;-;-;-;-;-;-;-;478;-;-;-;-;-;-;-;1056
2022;Neonatologie;ICD10-K00-K93;Krankheiten des Verdauungssystems;-;-;-;-;-;-;-;110;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;166
2022;Neonatologie;ICD10-L00-L99;Krankheiten der Haut und der Unterhaut;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;81
2022;Neonatologie;ICD10-M00-M99;Krankh. d. Muskel-Skelett-Systems u.d.Bindegewebes;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;6
2022;Neonatologie;ICD10-N00-N99;Krankheiten des Urogenitalsystems;-;-;-;-;-;-;-;118;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;160
2022;Neonatologie;ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;Neonatologie;ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;-;-;-;-;-;-;-;20642;-;-;-;-;-;-;-;16191;-;-;-;-;-;-;-;36833
